timeout_sec,http2MaxRequests,http1MaxPendingRequests,retry_attempts,consecutive5xxErrors,reward,latency_p99_ms,latency_spread,error_rate_5xx,envoy_cpu_cores,rps_user,success_rate
1.0,129,353,0,10,0.7678437189988043,6999.080588678462,6807.520457602816,0.0,1.3970302131335226,435.9259570382815,0.452009517960328
1.0,500,50,0,3,0.8269899199709332,4592.432117880328,4329.785825656692,0.0,1.086673375447967,462.79379064837406,0.44719103041717245
1.99,106,104,0,10,0.8433020390267684,4642.016606206507,4340.62035328724,0.0002444822577814433,0.9536734912871649,490.83316347346107,0.45204128945894195
1.0,500,425,0,1,0.8059284259096287,4613.497822931784,4240.841572931784,0.00016194331983805668,1.2571040595545084,494.0,0.448502024291498
1.91,286,50,0,1,0.8764340737397454,4620.020154351177,4279.893503549143,8.500624027409602e-05,0.691693609004812,470.5725125005,0.4498469744864583
1.0,100,50,0,1,0.8680930892756926,4380.88267690829,4087.2413198467757,8.718167364221187e-05,0.7728101225553394,458.7936706531739,0.4497820308206466
1.89,500,202,0,1,0.8175119807143271,3200.320568827784,2996.724940739586,0.000180043283510428,1.2529758840661165,444.3198244791037,0.45039605525221266
1.0,256,500,0,5,0.835651597020047,2366.137067010992,2265.0524190887236,0.0004930493655830858,1.1594281422384674,405.64538581543263,0.4506458776287188
1.0,216,376,2,8,0.8513482529494533,1983.8935473229692,1907.5319534775726,0.0003250575267221787,1.0588496779909107,369.155580976761,0.45151152703415176
3.0,500,50,0,7,0.8161137129518281,971.1887112554967,941.0360859773436,0.0001292972609819052,1.407090875288984,309.3646353854154,0.45190076464441986
1.0,500,50,5,1,0.8010603035553436,834.0643274853808,814.6649768360301,0.0,1.5365599280798699,285.76,0.449468085106383
1.0,500,235,0,1,0.8218274737037152,692.4599190311338,680.2468416074697,0.00023068287880974978,1.3791619525913716,346.810308024642,0.45121108788205644
1.31,100,260,0,1,0.7927515281426192,941.5215809770433,922.3435397561105,0.00028085315187129507,1.5952972311975329,427.29234018721496,0.4489796422770132
1.0,100,129,5,1,0.8254699889791943,1800.1168176190954,1741.931988757732,0.0,1.2781717946205509,508.91300507979685,0.44957950345536946
1.53,245,50,5,8,0.8637039066409313,2252.884109300191,2163.4248511950304,7.185038797844406e-05,0.9430147474134183,556.7123731050758,0.44841212984796597
1.0,254,130,0,1,0.8179310377082454,2366.045265464256,2230.7703071130936,0.0002030044358778015,1.3029185037097035,591.1122067117316,0.4506022164943597
1.0,365,195,0,1,0.7914516818877196,2480.2151859058013,2295.45267222596,0.00013165006916631132,1.5089343161555189,607.6715379384825,0.4508293508081594
3.0,323,500,0,1,0.7603695412021177,3514.5752895752794,3313.214588468268,0.0,1.6894506744482733,618.76,0.45051393108798243
1.0,100,50,0,1,0.7753836766418336,3464.1196126908053,3246.1661404226634,0.0,1.5732543950948812,624.6142270927489,0.4510758679046422
1.0,100,50,0,1,0.7746155742742955,3806.8327974276654,3620.1296575608717,6.767731456415808e-05,1.5553746360102232,591.0400000000001,0.44903898213318894
3.0,500,363,4,3,0.8081236382162997,2439.359045504995,2278.7094986772004,6.832001093120175e-05,1.3776053027750002,585.48,0.45098039215686275
3.0,213,500,0,1,0.8345224997940857,2324.0672177349893,2224.7233125032035,0.00014310630304359247,1.1719074380332877,559.0249926002961,0.45191759297865675
1.0,138,50,0,10,0.8093386240874781,2127.066868422406,2046.1560147530686,0.0002400830018795426,1.385703411857233,499.84713308532343,0.4499039671193588
1.0,100,500,1,10,0.8186758071585334,995.5995261053008,958.11458267602,0.0,1.3854697391056894,426.7424715723954,0.45149498389482795
